feature,OR
R_delta_bandpower_min_O,1.0147705831542368
R_theta_bandpower_min_F,1.0380924335049024
R_theta_bandpower_min_C,1.003548554559447
R_theta_bandpower_min_O,1.0550268581955256
R_alpha_bandpower_min_F,0.9273873787696283
R_alpha_bandpower_min_C,0.8682167419493692
R_alpha_bandpower_min_O,0.770859277933371
R_delta_bandpower_mean_F,1.0197884136732958
R_delta_bandpower_mean_C,1.0234841725313397
R_delta_bandpower_mean_O,1.0926450961016367
R_theta_bandpower_mean_F,1.0724598516808161
R_theta_bandpower_mean_C,1.040490653441804
R_theta_bandpower_mean_O,1.0743166334996277
R_alpha_bandpower_mean_F,0.9697158042612581
R_alpha_bandpower_mean_C,0.8854931733439932
R_alpha_bandpower_mean_O,0.759411334988874
R_delta_bandpower_std_F,0.9389957326489115
R_delta_bandpower_std_C,1.0089967907758228
R_delta_bandpower_std_O,1.108919689142743
R_theta_bandpower_std_F,1.035289447951446
R_theta_bandpower_std_C,0.9841391669537098
R_theta_bandpower_std_O,1.0614735581521055
R_alpha_bandpower_std_F,1.0002551025232604
R_alpha_bandpower_std_C,0.8800915706414362
R_alpha_bandpower_std_O,0.7674989956173888
R_delta_bandpower_kurtosis_F,0.9855102850442997
R_delta_bandpower_kurtosis_C,1.1631291109782875
R_delta_bandpower_kurtosis_O,1.1846888625620813
R_theta_bandpower_kurtosis_F,0.8148157224482347
R_theta_bandpower_kurtosis_C,0.7554982295559266
R_theta_bandpower_kurtosis_O,0.8809490971652123
R_alpha_bandpower_kurtosis_F,0.8286201506468527
R_alpha_bandpower_kurtosis_C,0.868168134446695
R_alpha_bandpower_kurtosis_O,0.9844652070179228
R_sigma_bandpower_kurtosis_F,1.0797328491501108
R_sigma_bandpower_kurtosis_C,1.0274770656473806
R_sigma_bandpower_kurtosis_O,1.0006627684421836
R_delta/theta_max_F,0.9885967576916999
R_delta/theta_max_C,1.0360447910638502
R_delta/theta_max_O,1.130926723181595
R_delta/theta_min_F,0.9571408703632459
R_delta/theta_min_C,0.8647788211413088
R_delta/theta_min_O,0.9699625153936058
R_delta/theta_mean_F,1.0191961845719397
R_delta/theta_mean_C,1.0313730804431132
R_delta/theta_mean_O,1.1018048667029514
R_delta/theta_std_F,0.9398467121203208
R_delta/theta_std_C,1.0219992889149039
R_delta/theta_std_O,1.1120718686413198
R_delta/alpha_max_F,0.9927403554262503
R_delta/alpha_max_C,1.035286223055504
R_delta/alpha_max_O,1.1500879026840374
R_delta/alpha_min_F,0.9728206046761481
R_delta/alpha_min_C,0.8771323568799725
R_delta/alpha_min_O,1.019569961142292
R_delta/alpha_mean_F,1.0233475085257724
R_delta/alpha_mean_C,1.0326786116497209
